step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
416,-19.870964,SHORT,0.001152,-0.022897,4e-06,-0.022901,0.183357
417,19.449627,LONG,-0.000474,-0.009225,0.01966,-0.028885,0.154472
418,19.047394,LONG,-0.000475,-0.009039,0.000201,-0.00924,0.145232
419,18.99369,LONG,-0.002852,-0.054168,2.7e-05,-0.054195,0.091037
420,19.022926,LONG,-0.001021,-0.019413,1.5e-05,-0.019428,0.07161
421,-19.944784,SHORT,-0.006351,0.12666,0.019484,0.107176,0.178786
422,-18.796795,SHORT,-0.001302,0.024481,0.000574,0.023907,0.202693
423,-19.265896,SHORT,0.007449,-0.143506,0.000235,-0.14374,0.058952
424,-19.892553,SHORT,-0.002045,0.040672,0.000313,0.040358,0.099311
425,-19.360029,SHORT,-0.002527,0.048931,0.000266,0.048664,0.147975
426,-19.765385,SHORT,0.001504,-0.029718,0.000203,-0.029921,0.118054
427,-19.715771,SHORT,-0.004586,0.090418,2.5e-05,0.090393,0.208447
428,-16.542767,SHORT,0.006292,-0.104086,0.001587,-0.105672,0.102775
429,19.574387,LONG,0.009364,0.1833,0.018059,0.165241,0.268016
430,8.339226,LONG,0.003304,0.027553,0.005618,0.021935,0.289951
431,-19.741861,SHORT,0.005773,-0.113962,0.014041,-0.128002,0.161949
432,-19.781179,SHORT,-0.000803,0.015894,2e-05,0.015874,0.177823
433,-19.83499,SHORT,-0.003086,0.061211,2.7e-05,0.061184,0.239007
434,-19.844681,SHORT,-0.000739,0.014673,5e-06,0.014668,0.253675
435,-19.852558,SHORT,0.000941,-0.01868,4e-06,-0.018684,0.234991
436,-19.84487,SHORT,-0.000874,0.017338,4e-06,0.017334,0.252325
437,-19.797346,SHORT,-0.000874,0.017312,2.4e-05,0.017288,0.269613
438,-19.764307,SHORT,-0.00743,0.146848,1.7e-05,0.146831,0.416445
439,-18.276787,SHORT,0.001693,-0.030951,0.000744,-0.031695,0.38475
440,-18.249119,SHORT,0.003985,-0.072728,1.4e-05,-0.072742,0.312008
441,-19.102755,SHORT,-0.004121,0.078716,0.000427,0.078289,0.390297
442,-19.650688,SHORT,0.000474,-0.009309,0.000274,-0.009583,0.380714
443,-18.078241,SHORT,-0.003185,0.05758,0.000786,0.056794,0.437508
444,-6.689112,SHORT,-0.002242,0.015,0.005695,0.009305,0.446813
445,-19.871504,SHORT,-0.004158,0.082632,0.006591,0.07604,0.522853
446,-19.832216,SHORT,0.00443,-0.087864,2e-05,-0.087884,0.434969
447,-19.870239,SHORT,0.004817,-0.095715,1.9e-05,-0.095734,0.339235
448,-19.861797,SHORT,0.002366,-0.046994,4e-06,-0.046999,0.292237
449,-19.816362,SHORT,-0.004127,0.081789,2.3e-05,0.081766,0.374003
